Experiment: reference Library: COMM_FMI_EXAMPLES Component: diodeBridge Partition: default
User: ftm Date: 2026:05:21 Time: 15:21:07
Platform: win64_vcr1 OS: Microsoft Windows [Version 10.0.26100]
Library dependency list: COMM_FMI_EXAMPLES V3.0.0 ELECTRICAL V3.2.4 MATH V3.4.8 PORTS_LIB V1.2.0 
Programme and Version: PROOSIS V7.2.1
#Group,#Case,#Calc,#Point,#Status,ESI,TIME,C1.v(V),D1.v(V),D2.v(V),D3.v(V),D4.v(V)
322,"","transient-1","",IS_EVENT,"0",0.133694707,9.17093008,-9.17093008,-4.17593532e-15,-4.17593532e-15,-9.17093008
323,"","transient-1","",IS_CINT,"0",0.134,9.4888798,-9.49972248,0.0108426791,0.0108426791,-9.49972248
324,"","transient-1","",IS_CINT,"0",0.1345,9.86469219,-9.8707878,0.00609560708,0.00609560708,-9.8707878
325,"","transient-1","",IS_CINT,"0",0.135,9.99760198,-9.99880099,0.00119900944,0.00119900944,-9.99880099
326,"","transient-1","",IS_EVENT,"0",0.13512135,9.99273404,-9.99273403,-1.00000019e-08,-1.00000019e-08,-9.99273403
327,"","transient-1","",IS_EVENT,"0",0.13512135,9.99273404,-9.99273403,-1.00000026e-08,-1.00000008e-08,-9.99273403
328,"","transient-1","",IS_CINT,"0",0.1355,9.95493036,-9.91590688,-0.0390234765,-0.0390234765,-9.91590688
329,"","transient-1","",IS_CINT,"0",0.136,9.90523032,-9.70789774,-0.197332577,-0.197332577,-9.70789774
330,"","transient-1","",IS_CINT,"0",0.1365,9.85577834,-9.38292179,-0.472856547,-0.472856547,-9.38292179
331,"","transient-1","",IS_CINT,"0",0.137,9.8065733,-8.94837162,-0.858201678,-0.858201678,-8.94837162
332,"","transient-1","",IS_CINT,"0",0.1375,9.75761372,-8.41434076,-1.34327295,-1.34327295,-8.41434076
333,"","transient-1","",IS_CINT,"0",0.138,9.7088985,-7.79337551,-1.91552299,-1.91552299,-7.79337551
334,"","transient-1","",IS_CINT,"0",0.1385,9.66042647,-7.10016573,-2.56026074,-2.56026074,-7.10016573
335,"","transient-1","",IS_CINT,"0",0.139,9.61219643,-6.35118319,-3.26101324,-3.26101324,-6.35118319
336,"","transient-1","",IS_CINT,"0",0.1395,9.56420739,-5.56427602,-3.99993137,-3.99993137,-5.56427602
337,"","transient-1","",IS_CINT,"0",0.14,9.51645806,-4.75822903,-4.75822903,-4.75822903,-4.75822903
338,"","transient-1","",IS_CINT,"0",0.1405,9.46894717,-3.95230126,-5.51664591,-5.51664591,-3.95230126
339,"","transient-1","",IS_CINT,"0",0.141,9.4216735,-3.16575178,-6.25592172,-6.25592172,-3.16575178
340,"","transient-1","",IS_CINT,"0",0.1415,9.37463585,-2.41736543,-6.95727042,-6.95727042,-2.41736543
341,"","transient-1","",IS_CINT,"0",0.142,9.32783303,-1.72499025,-7.60284277,-7.60284277,-1.72499025
342,"","transient-1","",IS_CINT,"0",0.1425,9.28126386,-1.10509802,-8.17616584,-8.17616584,-1.10509802
343,"","transient-1","",IS_CINT,"0",0.143,9.23492718,-0.572378621,-8.66254856,-8.66254856,-0.572378621
344,"","transient-1","",IS_CINT,"0",0.1435,9.18882185,-0.139378303,-9.04944354,-9.04944354,-0.139378303
345,"","transient-1","",IS_EVENT,"0",0.143694707,9.17093008,1.21635015e-14,-9.17093008,-9.17093008,1.27054942e-14
346,"","transient-1","",IS_EVENT,"0",0.143694707,9.17093008,1.24344979e-14,-9.17093008,-9.17093008,1.24344978e-14
347,"","transient-1","",IS_CINT,"0",0.144,9.4888798,0.0108426791,-9.49972248,-9.49972248,0.0108426791
348,"","transient-1","",IS_CINT,"0",0.1445,9.86469219,0.00609560708,-9.8707878,-9.8707878,0.00609560708
349,"","transient-1","",IS_CINT,"0",0.145,9.99760198,0.00119900944,-9.99880099,-9.99880099,0.00119900944
350,"","transient-1","",IS_EVENT,"0",0.14512135,9.99273404,-9.99999994e-09,-9.99273403,-9.99273403,-9.99999994e-09
351,"","transient-1","",IS_EVENT,"0",0.14512135,9.99273404,-1.00000001e-08,-9.99273403,-9.99273403,-9.99999982e-09
352,"","transient-1","",IS_CINT,"0",0.1455,9.95493036,-0.0390234765,-9.91590688,-9.91590688,-0.0390234765
353,"","transient-1","",IS_CINT,"0",0.146,9.90523032,-0.197332577,-9.70789774,-9.70789774,-0.197332577
354,"","transient-1","",IS_CINT,"0",0.1465,9.85577834,-0.472856547,-9.38292179,-9.38292179,-0.472856547
355,"","transient-1","",IS_CINT,"0",0.147,9.8065733,-0.858201678,-8.94837162,-8.94837162,-0.858201678
356,"","transient-1","",IS_CINT,"0",0.1475,9.75761372,-1.34327295,-8.41434076,-8.41434076,-1.34327295
357,"","transient-1","",IS_CINT,"0",0.148,9.7088985,-1.91552299,-7.79337551,-7.79337551,-1.91552299
358,"","transient-1","",IS_CINT,"0",0.1485,9.66042647,-2.56026074,-7.10016573,-7.10016573,-2.56026074
359,"","transient-1","",IS_CINT,"0",0.149,9.61219643,-3.26101324,-6.35118319,-6.35118319,-3.26101324
360,"","transient-1","",IS_CINT,"0",0.1495,9.56420739,-3.99993137,-5.56427602,-5.56427602,-3.99993137
361,"","transient-1","",INTEG_END,"0",0.15,9.51645809,-4.75822904,-4.75822904,-4.75822904,-4.75822904
